,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Bal,Floor,Nfloors,New
0,1.0,2,69894300.0,80.2,56.6,5.7,3.35496,3.0,1.0,1.0,0.0,11.0,12.0,1.0
1,2.0,3,67800000.0,125.0,85.8,11.7,3.29872,6.0,1.0,0.0,1.0,5.0,9.0,0.0
2,3.0,3,129000000.0,138.4,(),(),5.60862,8.0,1.0,0.0,0.0,5.0,11.0,0.0
3,4.0,5,1730000.0,194.2,1,(),3.74535,9.0,1.0,0.0,1.0,10.0,13.0,0.0
4,5.0,1,4403057.0,22.7,22.7,(),6.4243,6.0,1.0,0.0,0.0,3.0,3.0,1.0
5,6.0,1,4585315.0,17.3,17.3,(),6.4243,6.0,1.0,0.0,0.0,2.0,2.0,1.0
6,7.0,1,4814581.0,17.3,10,(),6.4243,6.0,1.0,1.0,0.0,2.0,5.0,1.0
7,8.0,1,4814581.0,17.3,17.3,(),6.46867,5.0,1.0,1.0,0.0,2.0,6.0,0.0
8,9.0,1,5300000.0,32.0,20,7,6.80272,4.0,1.0,0.0,0.0,1.0,9.0,0.0
9,10.0,1,5377566.0,18.3,10,(),6.4243,6.0,1.0,1.0,0.0,5.0,5.0,1.0
10,11.0,1,5496232.0,23.7,23.7,(),6.46867,5.0,1.0,1.0,0.0,2.0,6.0,0.0
11,12.0,1,5496232.0,23.7,23.7,(),6.4243,6.0,1.0,0.0,0.0,2.0,2.0,1.0
12,13.0,1,5550000.0,37.4,20,9.6,8.236,10.0,1.0,0.0,1.0,1.0,1.0,0.0
13,14.0,1,5999000.0,30.0,16,6,10.57976,(),(),1.0,1.0,3.0,5.0,0.0
14,15.0,1,6000000.0,35.0,20,10,10.5252,13,1,0.0,0.0,1.0,12.0,0.0
15,16.0,1,6000000.0,35.1,20.1,9.6,6.91708,10,0,0.0,1.0,12.0,12.0,0.0
16,17.0,1,6100000.0,34.0,21,8,6.74636,12,1,1.0,1.0,2.0,5.0,0.0
17,18.0,1,6100000.0,36.0,20,10,6.91708,10,1,0.0,1.0,12.0,12.0,0.0
18,19.0,1,6258687.0,25.5,15,(),6.4243,6,1,1.0,0.0,4.0,4.0,1.0
19,20.0,1,6258687.0,25.5,25.5,(),6.4243,6,1,0.0,0.0,4.0,4.0,1.0
20,21.0,1,6285999.0,32.6,32.6,(),6.4243,6,1,0.0,0.0,2.0,2.0,1.0
21,22.0,1,6325576.0,30.0,17,(),6.4243,6,1,1.0,0.0,3.0,4.0,1.0
22,23.0,1,6325576.0,29.5,29.5,(),6.4627,5,1,1.0,0.0,3.0,6.0,0.0
23,24.0,1,6355668.0,22.3,22.3,(),6.4243,6,1,0.0,0.0,3.0,3.0,1.0
24,25.0,1,6437035.0,33.5,18,(),6.4243,6,1,1.0,0.0,3.0,4.0,1.0
25,26.0,1,6449418.0,28.5,16,(),6.4243,6,1,1.0,0.0,4.0,4.0,1.0
26,27.0,1,6449418.0,29.5,29.5,(),6.4243,6,1,0.0,0.0,4.0,4.0,1.0
27,28.0,1,6467402.0,28.2,28.2,(),6.4243,6,1,0.0,0.0,3.0,3.0,1.0
28,29.0,2,36099975.0,75.0,40,(),3.65947,12,1,0.0,0.0,11.0,14.0,1.0
29,30.0,2,35980000.0,88.8,(),(),7.04437,5,1,1.0,1.0,3.0,18.0,0.0
30,31.0,1,8000000.0,32.0,19,6,4.34825,3,1,1.0,1.0,5.0,8.0,0.0
31,32.0,1,6500000.0,30.7,18.6,5.6,7.0163,10,1,1.0,1.0,5.0,5.0,0.0
32,33.0,1,6500000.0,36.8,20.5,6,10.65009,11,1,1.0,0.0,2.0,5.0,0.0
33,34.0,1,6577730.0,28.1,28.1,(),6.4243,6,1,0.0,0.0,4.0,4.0,1.0
34,35.0,1,6600000.0,33.1,20.2,5.6,7.16466,5,1,1.0,1.0,5.0,9.0,0.0
35,36.0,2,6600000.0,33.1,18,6,7.16466,5,1,1.0,1.0,5.0,9.0,0.0
36,37.0,1,6600000.0,34.0,18,10,10.97821,10,1,0.0,1.0,2.0,12.0,0.0
37,38.0,1,6800000.0,27.0,17,5.4,8.4839,10,1,1.0,0.0,4.0,5.0,0.0
38,39.0,1,6800000.0,31.0,19,7,8.37348,15,1,1.0,1.0,4.0,5.0,0.0
39,40.0,1,6850000.0,32.0,17,8,6.92488,9,1,0.0,1.0,9.0,12.0,0.0
40,41.0,1,6900000.0,34.0,19,9,3.40648,5,1,0.0,1.0,3.0,16.0,0.0
41,42.0,1,6934500.0,34.0,(),(),3.40648,5,1,0.0,1.0,8.0,16.0,0.0
42,43.0,2,7000000.0,35.0,22,5.5,7.6374,10,1,1.0,0.0,2.0,9.0,0.0
43,44.0,1,7000000.0,36.0,20,10,6.89493,15,1,0.0,1.0,4.0,12.0,0.0
44,45.0,2,7021000.0,41.2,27.8,(),7.60799,(),(),1.0,0.0,5.0,19.0,1.0
45,46.0,1,7079400.0,34.0,19,9,3.40648,5,1,0.0,1.0,8.0,16.0,0.0
46,47.0,1,7189943.0,30.5,30.5,(),6.4243,6,1,0.0,0.0,4.0,4.0,1.0
47,48.0,1,7200000.0,31.0,18,6,7.08572,4,1,1.0,0.0,2.0,9.0,0.0
48,49.0,1,7200000.0,35.0,20,9,8.1831,10,1,0.0,1.0,10.0,12.0,0.0
49,50.0,1,7200000.0,27.0,25,(),8.4839,12,1,0.0,0.0,4.0,5.0,0.0
50,51.0,1,7200000.0,32.0,19,6,7.57502,15,1,1.0,1.0,3.0,9.0,0.0
51,52.0,1,7220153.0,33.6,33.6,(),6.4627,5,1,1.0,0.0,3.0,6.0,0.0
52,53.0,1,7220153.0,33.6,33.6,(),6.4243,6,1,0.0,0.0,3.0,3.0,1.0
53,54.0,1,7240000.0,41.8,27.4,10,6.12823,11,1,1.0,1.0,29.0,44.0,1.0
54,55.0,1,7250000.0,41.9,(),(),6.12823,11,1,0.0,0.0,20.0,44.0,1.0
55,56.0,1,7269461.0,32.2,32.2,(),6.4243,6,1,0.0,0.0,3.0,3.0,1.0
56,57.0,2,36121590.0,88.9,38,26.2,7.08097,9,1,1.0,0.0,4.0,18.0,0.0
57,58.0,3,80000000.0,130.0,87.8,13,2.33661,5,1,0.0,1.0,4.0,7.0,0.0
58,59.0,2,15400000.0,46.0,30,7,2.35835,3,1,1.0,1.0,3.0,8.0,0.0
59,60.0,2,7300000.0,38.0,24,6,7.6374,10,1,1.0,0.0,2.0,9.0,0.0
60,61.0,1,7300000.0,32.0,19.5,6,5.66168,5,0,0.0,1.0,4.0,5.0,0.0
61,62.0,2,7330000.0,47.0,29,6.5,8.92834,15,1,0.0,1.0,2.0,5.0,0.0
62,63.0,2,7356800.0,42.0,23.4,(),7.60799,(),(),1.0,0.0,5.0,19.0,1.0
63,64.0,2,7356800.0,41.3,27.8,(),7.60799,(),(),1.0,0.0,4.0,19.0,1.0
64,65.0,2,7500000.0,45.0,30,6,8.81533,15,1,0.0,1.0,5.0,5.0,0.0
65,66.0,1,7500000.0,35.2,17,8.5,8.1831,10,1,0.0,1.0,9.0,12.0,0.0
66,67.0,2,7600000.0,38.0,24,6,8.97576,10,0,1.0,1.0,7.0,9.0,0.0
67,68.0,2,7650000.0,36.0,21,5,5.44355,13,1,1.0,1.0,8.0,9.0,0.0
68,69.0,2,7650000.0,43.0,36,6,8.21585,10,1,0.0,1.0,2.0,5.0,0.0
69,70.0,2,7650000.0,43.0,36,6,8.21585,15,1,0.0,1.0,2.0,5.0,0.0
70,71.0,1,7687509.0,33.4,33.4,(),6.4243,6,1,0.0,0.0,4.0,4.0,1.0
71,72.0,1,7764334.0,32.2,18,(),6.4243,6,1,1.0,0.0,4.0,4.0,1.0
72,73.0,2,7800000.0,45.0,30,6.5,6.71624,8,1,1.0,1.0,5.0,5.0,0.0
73,74.0,1,7800000.0,32.0,21,6,6.06458,4,1,0.0,1.0,3.0,5.0,0.0
74,75.0,2,7800000.0,44.0,31,6,10.48075,10,1,1.0,1.0,4.0,5.0,0.0
75,76.0,1,7800000.0,35.0,20,10,7.5994,5,1,0.0,1.0,8.0,12.0,0.0
76,77.0,1,7800000.0,31.0,20,6,7.73902,13,1,1.0,1.0,7.0,9.0,0.0
77,78.0,1,7838741.0,34.9,34.9,(),6.4243,6,1,0.0,0.0,3.0,3.0,1.0
78,79.0,1,7850000.0,24.0,15,4,2.6806,4,1,1.0,0.0,3.0,5.0,0.0
79,80.0,2,7850000.0,43.4,29.2,5.6,7.87188,7,1,1.0,1.0,5.0,5.0,0.0
80,81.0,1,7863878.0,29.0,29,(),6.46867,5,1,1.0,0.0,2.0,6.0,0.0
81,82.0,1,7863878.0,29.0,29,(),6.4243,6,1,0.0,0.0,2.0,2.0,1.0
82,83.0,1,7989174.0,28.0,28,(),6.4243,6,1,0.0,0.0,2.0,2.0,1.0
83,84.0,2,8000000.0,57.0,31,9,3.81618,7,1,1.0,0.0,1.0,5.0,0.0
84,85.0,3,12800000.0,60.0,40,9,3.9008,10,1,0.0,0.0,2.0,7.0,0.0
85,86.0,4,509891200.0,221.0,(),(),2.89777,10,1,0.0,0.0,6.0,9.0,0.0
86,87.0,3,156154180.0,140.0,115,10,2.42186,12,1,0.0,0.0,6.0,7.0,0.0
87,88.0,1,8000000.0,37.0,20,9,7.67313,15,1,1.0,1.0,2.0,14.0,0.0
88,89.0,1,8000000.0,38.5,17,8.2,7.96786,13,1,1.0,1.0,5.0,14.0,0.0
89,90.0,2,8081363.0,55.2,30,(),6.4243,6,1,1.0,0.0,2.0,5.0,1.0
90,91.0,1,8081363.0,55.2,25,(),6.4243,6,1,1.0,0.0,2.0,5.0,1.0
91,92.0,1,8081363.0,55.2,55.2,(),6.4243,6,1,0.0,0.0,2.0,2.0,1.0
92,93.0,3,8150000.0,56.0,40,6,3.40661,4,1,0.0,1.0,3.0,5.0,0.0
93,94.0,1,8157500.0,43.0,20,(),6.12823,7,1,1.0,0.0,3.0,44.0,1.0
94,95.0,1,8168388.0,40.8,40.8,(),6.4243,6,1,0.0,0.0,2.0,2.0,1.0
95,96.0,1,8178900.0,41.1,(),(),6.12823,5,1,1.0,0.0,4.0,39.0,1.0
96,97.0,2,8200000.0,44.6,32.3,5.6,6.93878,7,1,0.0,1.0,7.0,9.0,0.0
97,98.0,1,8200000.0,40.0,20,8.5,8.49856,15,1,1.0,1.0,2.0,5.0,0.0
98,99.0,2,8300000.0,40.5,27,7,4.5266,9,1,0.0,0.0,3.0,6.0,0.0
99,100.0,2,8323802.0,55.2,55.2,(),6.4627,5,1,1.0,0.0,2.0,6.0,0.0
100,101.0,1,8375472.0,37.9,37.9,(),6.4243,6,1,0.0,0.0,2.0,2.0,1.0
101,102.0,1,8400000.0,31.0,19,6,5.31546,7,1,1.0,0.0,5.0,5.0,0.0
102,103.0,1,8400000.0,32.0,19,5.1,5.90139,6,1,1.0,1.0,9.0,9.0,0.0
103,104.0,1,8410919.0,28.7,28.7,(),6.4243,6,1,0.0,0.0,5.0,5.0,1.0
104,105.0,1,8437054.0,39.8,39.8,(),6.4627,5,1,1.0,0.0,2.0,6.0,0.0
105,106.0,2,8500000.0,43.5,28.7,6,6.38181,8,1,0.0,1.0,3.0,5.0,0.0
106,107.0,1,8500000.0,35.0,18,9,4.34158,10,1,0.0,1.0,6.0,16.0,0.0
107,108.0,1,8500000.0,31.6,21.3,5.1,6.14885,3,1,0.0,1.0,5.0,9.0,0.0
108,109.0,1,8500000.0,37.0,18.5,11.5,6.07759,5,1,0.0,0.0,6.0,17.0,0.0
109,110.0,2,8500000.0,42.0,26.6,5,5.6142,7,1,1.0,0.0,1.0,9.0,0.0
110,111.0,1,8570754.0,44.0,44,(),6.4243,6,1,0.0,0.0,1.0,1.0,1.0
111,112.0,1,8577450.0,44.1,(),(),6.12823,5,1,1.0,0.0,2.0,39.0,1.0
112,113.0,2,82028747.0,117.0,(),(),2.6873,10,1,0.0,0.0,2.0,7.0,1.0
113,114.0,2,37500000.0,64.5,44.8,8.2,4.17514,2,1,0.0,0.0,3.0,11.0,0.0
114,115.0,2,14328600.0,57.2,27.6,11.6,3.40648,10,1,0.0,1.0,5.0,19.0,1.0
115,116.0,1,8628726.0,50.0,50,(),6.4243,6,1,0.0,0.0,3.0,3.0,1.0
116,117.0,1,8650000.0,38.8,23.1,9,6.23058,2,1,1.0,0.0,13.0,14.0,0.0
117,118.0,1,8672814.0,38.4,38.4,(),6.4243,6,1,0.0,0.0,3.0,3.0,1.0
118,119.0,1,8700000.0,39.0,19,8,8.06913,10,1,0.0,1.0,12.0,17.0,0.0
119,120.0,2,8700000.0,44.0,29,6,4.1615,6,0,1.0,1.0,4.0,9.0,0.0
120,121.0,1,8700000.0,38.0,20,9,7.9067,10,1,1.0,1.0,6.0,17.0,0.0
121,122.0,1,8800000.0,30.0,18,6,3.64977,9,1,0.0,1.0,3.0,5.0,0.0
122,123.0,1,8839861.0,52.7,52.7,(),6.4243,6,1,0.0,0.0,2.0,2.0,1.0
123,124.0,1,8900000.0,39.0,23,10,7.42498,3,1,1.0,0.0,1.0,3.0,0.0
124,125.0,2,8900000.0,47.5,31,7,6.98451,9,1,0.0,1.0,1.0,12.0,0.0
125,126.0,1,8900000.0,40.0,20,10.5,6.78501,3,0,0.0,1.0,12.0,22.0,0.0
126,127.0,1,8943624.0,49.9,49.9,(),6.4243,6,1,0.0,0.0,4.0,4.0,1.0
